holding_month,portfolio,instrument,contribution
2018-03,baseline,A026960,-0.00013799193576803382
2018-03,baseline,A028050,0.0006820617681829386
2018-03,baseline,A028260,0.0004932133670954783
2018-03,baseline,A028670,-0.0005757052598113845
2018-03,baseline,A029530,0.00013986013028251381
2018-03,baseline,A029780,6.41107873289988e-05
2018-03,baseline,A030000,0.00027826475393430167
2018-03,baseline,A030200,-5.4698617431146667e-05
2018-03,baseline,A032640,-6.109484157338453e-05
2018-03,baseline,A032830,-4.208752827104125e-05
2018-03,baseline,A033780,0.00010254832344601774
2018-03,baseline,A033920,-0.00024703556988486304
2018-03,baseline,A034020,0.00022408383215196079
2018-03,baseline,A034120,0.0005377364418262874
2018-03,baseline,A034220,-0.0006129672710735993
2018-03,baseline,A034730,0.0002349072070905773
2018-03,baseline,A035250,1.7783456125927324e-05
2018-03,baseline,A035420,-6.42558097637321e-06
2018-03,baseline,A035720,5.9417700583852884e-05
2018-03,baseline,A036460,-5.1746974719421443e-05
2018-03,baseline,A036570,0.0007157132882701301
2018-03,baseline,A036580,0.00010434929070475005
2018-03,baseline,A042670,-0.00033892279418443113
2018-03,baseline,A047040,0.00014942322104466725
2018-03,baseline,A047050,0.000911173571158937
2018-03,baseline,A047810,2.0656443407815446e-05
2018-03,baseline,A049770,-0.0003468158034096691
2018-03,baseline,A051600,0.0006162251426730709
2018-03,baseline,A051900,0.0007195240031204349
2018-03,baseline,A051910,5.267803982466394e-05
2018-03,baseline,A052690,0.0013974163963175663
2018-03,baseline,A055550,-0.00011416642020410525
2018-03,baseline,A057050,-2.3600490943357962e-05
2018-03,baseline,A060980,-0.00027680651779379194
2018-03,baseline,A064350,0.00011441274434743195
2018-03,baseline,A064960,-0.0006135596647430119
2018-03,baseline,A066570,0.0004750475059442748
2018-03,baseline,A069260,-0.00021326508254034782
2018-03,baseline,A069620,0.00045662097582321203
2018-03,baseline,A069960,0.00014477744601539968
2018-03,baseline,A071050,6.313131848285144e-05
2018-03,baseline,A073240,0.000756121761411258
2018-03,baseline,A078520,0.0004379841336526497
2018-03,baseline,A078930,-9.295408235228973e-05
2018-03,baseline,A079160,2.2183777668746433e-05
2018-03,baseline,A079430,0.00030984695841106407
2018-03,baseline,A079550,4.540106786593164e-12
2018-03,baseline,A086280,0.001118326130371182
2018-03,baseline,A086790,-0.0003984517449161922
2018-03,baseline,A088350,-0.000341763504266652
2018-03,baseline,A090430,0.0010540981626352185
2018-03,baseline,A093050,-0.0002147323711679693
2018-03,baseline,A093370,0.0003712803679558787
2018-03,baseline,A096760,6.212163285088422e-06
2018-03,baseline,A096770,0.00015820859456727957
2018-03,baseline,A097230,-0.00029934605788419465
2018-03,baseline,A097950,1.5374429444815946e-05
2018-03,baseline,A103140,-0.00030518456013032305
2018-03,baseline,A105560,-0.0003181420497744017
2018-03,baseline,A105630,0.00016143166576532145
2018-03,baseline,A108670,-0.00026387816689409305
2018-03,baseline,A111770,-2.6488675643679772e-05
2018-03,baseline,A114090,0.0009879009897777178
2018-03,baseline,A115390,0.0005182832555012166
2018-03,baseline,A120110,-0.0001878585612718963
2018-03,baseline,A128940,0.0005710230934406228
2018-03,baseline,A138930,-0.0002754820975936781
2018-03,baseline,A139480,-0.000623219390777648
2018-03,baseline,A145990,-5.859064233958534e-06
2018-03,baseline,A161390,-0.0005462276822189499
2018-03,baseline,A161890,0.00040272001564919247
2018-03,baseline,A170900,0.0003793806550792399
